Site Name,Country/Region,Receiver,Antenna,Radome,Satellite_System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data_Center,IERS DOMES,Clock,Agencies,Last_Data
BAKO00IDN,ID,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+SBAS,-6.49,106.85,158.18,-1836969.054,6065617.126,-716257.839,ROBOT,IGS / IGS20 / IGS Multi-GNSS,Scripps Orbit and Permanent Array Center,23101M002,EXTERNAL,National Coordination Agency for Surveys and Mappi,2
BAMF00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,48.83531667,-125.1350889,11.1,-2420721.2,-3439856.061,4778532.675,ROBOT,IGS / IGS Multi-GNSS,PGC,40190M001,INTERNAL CLOCK STEERING,Geological Survey of Canada,2
BARH00USA,US,LEICA GR30,LEIAR10,NONE,GPS+GLO,44.39504722,-68.22169167,6.8,1693644.846,-4239067.57,4439567.239,ROBOT,IGS08 / IGS / IGS20 / IGS14,https://geodesy.noaa.gov/corsdata/,49927S001,INTERNAL,National Geodetic Survey,2
BAUT00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,51.19234444,14.52173333,211.8,3877545.5,1004370.9,4947148.1,ROBOT,RTS / IGS / IGS Multi-GNSS,BKG,14102M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
BELE00BRA,BR,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,-1.408794444,-48.46254722,9.08,4228139.05,-4772752.08,-155761.38,ROBOT,IGS / IGS Multi-GNSS / RTS,JPL,41622M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BHR300BHR,BH,NOV OEM6,TPSCR.G5,TPSH,GPS,26.20914167,50.60814444,-13.9,3633910.66,4425277.759,2799862.907,ROBOT,IGS,CDDIS,24901S002,EXTERNAL CESIUM /RCVR1,National Geospatial-Intelligence Agency,3
BHR400BHR,BH,NOV OEM6,TPSCR.G5,TPSH,GPS,26.20914167,50.60814444,-13.9,3633910.66,4425277.759,2799862.907,ROBOT,IGS20 / IGS,CDDIS,24901S002,EXTERNAL CESIUM /RCVR2,National Geospatial-Intelligence Agency,3
BIK000KGZ,KG,SEPT POLARX5,JAV_RINGANT_G3T,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,42.85419444,74.53319444,749.2,1249005.546,4513917.346,4316147.925,CHAMBER,IGS Multi-GNSS / IGS / RTS,CDDIS,12358M003,INTERNAL,GeoForschungsZentrum,2
BILL00USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS+QZSS+SBAS,33.57824167,-117.0646,470.06,-2420420.501,-4737131.551,3507827.665,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,49916M001,INTERNAL,UNAVCO,2
BJCO00BEN,BJ,TRIMBLE NETR5,TRM59800.00,NONE,GPS+GLO,6.384663889,2.450022222,30.7,6333076.505,270973.437,704551.984,ROBOT,IGS14 Core / IGS / IGS20 / IGS14,https://geodesy.noaa.gov/corsdata/,32701M001,INTERNAL,Institut Geographique National-Benin,
BJFS00CHN,CN,TRIMBLE NETR9,TRM59900.00,SCIS,GPS+GLO,39.608625,115.8924611,87.413,-2148743.808,4426641.281,4044655.993,ROBOT,IGS08 Core / IGS08 / IGS / IGS20 / IGS14,IGN,21601M001,EXTERNAL RUBIDIUM,Chinese Academy of Surveying & Mapping,2
BJNM00CHN,CN,SEPT POLARX3ETR,NOV702GG,NONE,GPS+GLO,40.245325,116.2241278,118.6,-2154287.413,4373440.047,4098885.628,ROBOT,IGS / IGS14,CDDIS,21616M001,EXTERNAL HYDROGEN MASER,National Institute of Metrology,
BLYT00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,33.61041389,-114.71485,85.9,-2223206.72,-4830299.8,3510587.59,ROBOT,IGS,CDDIS,40479M001,INTERNAL,USGS,3
BNOA00IDN,ID,TRIMBLE NETR9,TRM59900.00,SCIS,GPS,-8.7465,115.2099167,39.056,-2685309.038,5704009.251,-963466.461,ROBOT,IGS,SIO,23116M001,INTERNAL,Pacific GPS Facility,
BOAV00BRA,BR,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,2.845180556,-60.70111389,69.48,3117452.21,-5555487.82,314480.74,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,CDDIS,41636M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BOGI00POL,PL,JAVAD TRE_G3T DELTA,TPSCR.G5,TPSH,GPS+GLO+GAL,52.47498889,21.03521111,139.9,3633815.7,1397453.9,5035280.8,ROBOT,IGS / IGS Multi-GNSS / RTS,BEV,12207M003,EXTERNAL RUBIDIUM,Institute of Geodesy and Cartography,2
BOGT00COL,CO,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS,4.640073083,-74.08093956,2576.7782,1744399.04,-6116037.558,512731.7532,ROBOT,IGS08 Core / IGS08 / IGS / RTS / IGS Multi-GNSS,JPL,41901M001,INTERNAL,Jet Propulsion Laboratory,2
BOR100POL,PL,TRIMBLE NETR9,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,52.27695556,17.07345833,124.9,3738358.833,1148173.963,5021816.113,ROBOT,IGS08 / IGS / IGS20 / IGS14 / RTS / IGS Multi-GNSS,BKG,12205M002,EXTERNAL H-MASER,SRC PAS Borowiec Observatory,2
BRAZ00BRA,BR,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+GAL,-15.9474,-47.8778,1106.0413,4115014.113,-4550641.523,-1741444.098,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS / IGS20 / IGS14 / RTS / IGS Multi-GNSS,CDDIS,41606M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BREW00USA,United States of America,SEPT POLARX5TR,ASH701945C_M,SCIT,GPS+GLO+GAL+BDS+QZSS,48.13152403,-119.6826335,238.6273,-2112007.14,-3705351.842,4726827.161,FIELD,IGS08 / IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,JPL,40473M001,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
BRFT00BRA,BR,SEPT POLARX5,LEIAT504,NONE,GPS+GLO+GAL,-3.877447222,-38.42553611,21.7,4985393.532,-3954993.417,-428426.704,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS20,https://geodesy.noaa.gov/corsdata/,41602M002,INTERNAL,National Geodetic Survey,2
BRMG00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,47.90773889,7.632877778,261.6,4245557.1,568958.1,4710200,ROBOT,IGS / IGS Multi-GNSS / RTS,BKG,10918M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
BRST00FRA,FR,TRIMBLE ALLOY,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,48.38049722,-4.4966,65.5,4231162,-332747,4745131,ROBOT,IGS08 / IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,BKG,10004M004,INTERNAL,Institut National de l'Information Geographique et,2
BRUN00BRN,BN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,4.971177778,114.9523611,90.669,-2680694.374,5761268.529,549016.773,ROBOT,IGS / IGS Multi-GNSS,JAXA,22501M001,INTERNAL,Japan Aerospace Exploration Agency,
BRUX00BEL,BE,SEPT POLARX5TR,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,50.79806389,4.358563889,158.3,4027881.628,306998.537,4919498.984,ROBOT,IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,ROB,13101M010,EXTERNAL IMASER 3000,Royal Observatory of Belgium,2
BSHM00ISR,IL,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,32.779,35.02,225.1,4396111.175,3080477.642,3433499.462,ROBOT,IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,JPL,20705M001,INTERNAL,Jet Propulsion Laboratory,2
BTNG00IDN,ID,TRIMBLE NETR9,TRM59900.00,SCIS,GPS,1.438922222,125.1904306,74.993,-3674585.766,5210904.565,159093.409,ROBOT,IGS,SIO,23105M002,INTERNAL,Pacific GPS Facility,
BUCU00ROU,RO,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,44.46394444,26.12573889,143.2,4093760.994,2007793.667,4445129.862,ROBOT,IGS08 / IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,BKG,11401M001,INTERNAL,TU of Civil Engineering Bucharest,2
BZR200ITA,IT,LEICA GR30,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,46.49578611,11.33823611,331.2,4312893.06,864794.52,4603598.27,ROBOT,IGS / IGS Multi-GNSS / RTS,BKG,12751M003,INTERNAL,AUTONOME PROVINZ BOZEN - SÜDTIROL,2
CAGS00CAN,CA,TRIMBLE NETR8,TRM59800.00,NONE,GPS,45.585,-75.8073,235,1096349.16,-4335060.66,4533255.22,ROBOT,IGS,CDDIS,40147M001,INTERNAL,NRCan+ Geodetic Survey Division,4
CAS100ATA,AQ,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS,-66.2834,110.5197,22.6,-901776.221,2409383.497,-5816748.487,ROBOT,IGS08 Core / IGS08 / IGS14 Core / IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,GA,66011M001,INTERNAL,Geoscience Australia,2
CCJ200JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,27.06753056,142.1950278,104.214,-4490605.401,3483894.751,2884928.222,ROBOT,IGS / IGS20 / IGS Multi-GNSS / RTS,CDDIS,21732M002,INTERNAL,Geospatial Information Authority of Japan,2
CEBR00ESP,ES,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+SBAS,40.45343056,-4.367852778,775.8,4846664.918,-370195.2,4116929.526,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,CDDIS,13408M001,EXTERNAL H-MASER,ESA/ESOC,2
CEDU00AUS,AU,TRIMBLE ALLOY,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS,-31.86665833,133.8098333,144.7,-3753473.193,3912741.028,-3347959.695,ROBOT,IGS08 Core / IGS08 / IGS / IGS14 / IGS20 / RTS / IGS Multi-GNSS,GA,50138M001,INTERNAL,Geoscience Australia,2
CGGN00NGA,NG,JAVAD TRE_G3TH DELTA,ASH701945B_M,NONE,GPS+GLO,10.12309481,9.118311528,916.6953,6201032.527,995277.2635,1113815.563,COPIED,IGS,JPL,33812M001,INTERNAL,Jet Propulsion Laboratory,
CHAN00CHN,CN,ASHTECH UZ-12,ASH701945C_M,NONE,GPS,43.7905,125.4433,268.3,-2674377,3757198,4391503,ROBOT,IGS / IGS14 / IGS20,CDDIS,21611M002,EXTERNAL H-MASER,Changchun Observatory+NAOC+CAS,2
CHIL00USA,US,TPS NET-G3A,TPSCR.G3,SCPL,GPS+GLO,34.33342222,-118.0259972,1567.51,-2478003.12,-4655349.22,3577932.2,,IGS / RTS,CDDIS,40484M001,INTERNAL,USGS,2
CHOF00JPN,JP,JAVAD TRE_G3TH DELTA,TRM57971.00,NONE,GPS+GLO+GAL+QZSS+IRNSS+SBAS,35.67454444,139.5310569,93.9,-3946216.71,3366689.83,3698971.69,ROBOT,IGS Multi-GNSS / IGS / RTS,BKG,21788M001,INTERNAL,DLR German Space Operations Center,2
CHPG00BRA,BR,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-22.6822731,-45.0023756,566.25,4163476.669,-4163821.936,-2444511.175,ROBOT,IGS Multi-GNSS / IGS / RTS,IGN,41609M004,INTERNAL,Centre National d'Etudes Spatiales,2
CHPI00BRA,BR,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL+BDS,-22.68714444,-44.98515833,617.4176,4164613.89,-4162456.91,-2445028.76,ROBOT,IGS14 Core / IGS / IGS14 / IGS20 / RTS / IGS Multi-GNSS,JPL,41609M003,INTERNAL,Jet Propulsion Laboratory,2
CHTI00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-43.735475,-176.6171139,75.7,-4607855.9,-272375.8,-4386954.5,ROBOT,IGS14 Core / IGS / IGS14 / IGS20 / RTS / IGS Multi-GNSS,CDDIS,50242M001,INTERNAL,GNS Science,2
CHUM00KAZ,KZ,TRIMBLE NETRS,AOAD/M_T,NONE,GPS,42.99850117,74.7510995,716.3321,1228950.716,4508079.93,4327868.505,ROBOT,IGS14 Core / IGS08 / IGS / IGS14 / IGS20,JPL,25601M001,INTERNAL,Jet Propulsion Laboratory,2
CHUR00CAN,CA,TPS NET-G3A,ASH701945E_M,NONE,GPS+GLO,58.7591,-94.0887,-18.9,-236438.7,-3307616.7,5430049.1,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS20 / RTS,CDDIS,40128M002,EXTERNAL RUBIDIUM,Natural Resources Canada,2
CHWK00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,49.1566,-122.0084,170,-2215259.73,-3543996.83,4802098.77,ROBOT,IGS / IGS Multi-GNSS,PGC,40142M001,INTERNAL CLOCK STEERING,Geological Survey of Canada,2
CIBG00IDN,ID,TRIMBLE ALLOY,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,-6.490364786,106.8491735,169.1334,-1837002.63,6065627.36,-716183.2715,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,23101M005,INTERNAL,Centre National d'Etudes Spatiales,2
CIT100USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+SBAS,34.13670833,-118.1272861,215.35,-2491490.262,-4660803.232,3559129.001,ROBOT,IGS / RTS,CDDIS,40400S201,INTERNAL,USGS,3
CKIS00COK,CK,TRIMBLE NETR9,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS,-21.20093611,-159.8006167,18.4,-5583182.138,-2054143.611,-2292166.757,ROBOT,IGS14 Core / IGS / IGS14 / IGS20 / IGS Multi-GNSS / RTS,GA,50213M003,INTERNAL,Geoscience Australia,52
CKSV00TWN,TW,TRIMBLE ALLOY,TPSCR.G3,TPSH,GPS+GLO+GAL+BDS+QZSS+SBAS,22.99885278,120.2200083,59.6,-2956619.19,5075902.172,2476625.546,ROBOT,IGS20 / IGS / IGS Multi-GNSS,GA (ftp.ga.gov.au),23606M002,INTERNAL,National Land Surveying and Mapping Center,3
CMP900USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,34.35318056,-118.411425,1137.99,-2508506.154,-4637174.796,3579499.936,ROBOT,IGS / RTS,CDDIS,49905M003,INTERNAL,USGS,3
CMUM00THA,TH,TRIMBLE NETR9,JAV_GRANT-G3T,NONE,GPS+GLO+GAL+BDS+QZSS,18.760875,98.93237778,308.962,-938078.387,5968373.965,2038404.323,ROBOT,IGS / IGS Multi-GNSS,JAXA,21908M001,INTERNAL,Japan Aerospace Exploration Agency,2
CNMR00USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+GAL,15.22969722,145.7430917,64.4,-5087757.849,3465028.937,1664653.754,ROBOT,IGS14 Core / IGS / IGS14 / IGS20,https://geodesy.noaa.gov/corsdata/,50512M001,INTERNAL,National Geodetic Survey,2
COCO00AUS,AU,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-12.18833889,96.833975,-35.3,-741949.8528,6190961.663,-1337768.733,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS20 / RTS / IGS Multi-GNSS,GA,50127M001,INTERNAL,Geoscience Australia,2
CORD00ARG,AR,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL+BDS,-31.52843558,-64.47004825,747.0654,2345503.945,-4910842.96,-3316365.547,ROBOT,IGS / IGS Multi-GNSS / RTS,JPL,41511M001,INTERNAL,Jet Propulsion Laboratory,2
COSO00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,35.98234444,-117.8088889,1455.16,-2411148.286,-4571430.232,3727461.45,ROBOT,IGS / RTS,CDDIS,40469M001,INTERNAL,USGS,2
COTE00ATA,AQ,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO,-77.8059,161.9978,1878.1,-1285757.417,417822.4915,-6214230.847,ROBOT,IGS,CDDIS,66096M001,INTERNAL,UNAVCO,2
COYQ00CHL,CL,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,-45.5143,-71.8921,476,1391587,-4255574,-4527926,ROBOT,IGS08 / IGS / IGS20,SIO,41715S001,INTERNAL,National Seismological Center of the U. of Chile,
CPNM00THA,TH,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,10.72465,99.37437778,9.143,-1020874.496,6183763.086,1179096.215,ROBOT,IGS / IGS Multi-GNSS,JAXA,21907M001,INTERNAL,Japan Aerospace Exploration Agency,3
CPVG00CPV,CV,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,16.73206201,-22.93493304,94.089,5626883.427,-2380932.51,1824483.875,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,IGN,39601M001,INTERNAL,Centre National d'Etudes Spatiales,2
CRFP00USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+SBAS,34.03905278,-117.0996833,688.82,-2410446.797,-4710490.388,3550422.495,ROBOT,IGS / RTS,CDDIS,40481M001,INTERNAL,USGS,3
